violDate,tag,location,city,state
2014-01-29 12:17:00,43283CD,U/B READ ST,Baltimore,MD
2014-07-26 18:52:00,KAM436,700 BALTIMORE ST,Baltimore,MD
2014-06-03 09:06:00,LPX359,400 MILTON AVE,Baltimore,MD
2014-11-21 21:10:00,A630229,700 CENTRAL AVE,Baltimore,MD
2014-06-14 02:51:00,001JLW,4210 WILLSHIRE,Baltimore,MD
2014-12-03 09:44:00,8FMY82,200 29TH ST,Baltimore,MD
2014-11-13 12:13:00,242589T,2500 GARRETT AVE,Baltimore,MD
2014-09-10 08:44:00,15528HT,400 REDWOOD ST,Baltimore,MD
2014-09-13 16:34:00,XCR3432,700 WASHINGTON BLVD,Baltimore,MD
2014-05-08 09:31:00,7AZ5009,3500 MULBERRY ST,Baltimore,MD
2014-01-17 21:31:00,11944M9,700 CENTRAL AVE,Baltimore,MD
2014-02-19 11:23:00,46V716,1300 ST PAUL ST,Baltimore,MD
2014-06-11 08:33:00,2BM0406,1700 FAIRMOUNT AVE,Baltimore,MD
2014-08-05 13:20:00,80R186,600 LEXINGTON ST,Baltimore,MD
2014-12-02 08:56:00,7AX9721,200 REDWOOD ST,Baltimore,MD
2014-12-17 07:15:00,2BN8964,1000 CALVERT ST,Baltimore,MD
2014-01-18 13:13:00,1AJ6305,E/S 2000 GOUGH ST,Baltimore,MD
2014-12-20 19:41:00,5BH0574,1000 LIGHT ST,Baltimore,MD
2014-10-14 16:20:00,2BC2562,5200 REISTERSTOWN RD,Baltimore,MD
2014-03-14 02:25:00,1AJ4865,2200 GOUGH ST,Baltimore,MD
2014-11-07 19:40:00,RDU861,UB E CROSS ST,Baltimore,MD
2014-10-12 13:24:00,MXD593,1500 THAMES ST,Baltimore,MD
2014-08-30 09:35:00,ZPX14S,U/B HENRIETTA ST,Baltimore,MD
2014-12-05 10:53:00,1BF2355,4900 BELAIR RD,Baltimore,MD
2014-08-15 16:02:00,GLW2031,3600 CHARLES ST,Baltimore,MD
2014-03-11 16:47:00,684M164,1400 STONEWOOD RD,Baltimore,MD
2014-06-07 19:46:00,1AM8910,27 BARNEY ST,Baltimore,MD
2014-10-10 14:23:00,1AJ6426,U/B GREENE ST,Baltimore,MD
2014-09-19 11:47:00,8AX3500,200 KEY HWY,Baltimore,MD
2014-11-22 20:13:00,5AR8702,200 GRINDALL ST,Baltimore,MD
2014-03-10 11:52:00,JJK0927,U/B 22ND ST,Baltimore,MD
2014-02-14 12:59:00,JKE3430,800 RUTLAND AVE,Baltimore,MD
2014-01-08 21:26:00,8BB4531,800 HOLLINS ST,Baltimore,MD
2014-02-25 20:26:00,9AJF67,2500 FLEET ST,Baltimore,MD
2014-06-08 21:25:00,8DJD10,1200 CHARLES ST,Baltimore,MD
2014-03-05 11:10:00,A246200,U/B FREMONT AVE,Baltimore,MD
2014-02-05 16:08:00,WFT12X,1400 BIDDLE ST,Baltimore,MD
2014-07-13 20:26:00,GSA2480,602 SHARP ST,Baltimore,MD
2014-05-24 11:34:00,2AN5444,1000 CHARLES ST,Baltimore,MD
2014-10-02 20:12:00,7BA3945,3800 CLIPPER MILL RD,Baltimore,MD
2014-09-19 13:43:00,5BA7221,5000 PERRING PKWY,Baltimore,MD
2014-01-17 12:40:00,9AW7023,1100 DRUID HILL AVE,Baltimore,MD
2014-02-15 10:39:00,GGX1245,1100 LIGHT ST,Baltimore,MD
2014-05-01 08:54:00,6BL6493,1100 MILTON AVE,Baltimore,MD
2014-07-23 15:24:00,5BD6264,U/B UNIVERSITY PKWY,Baltimore,MD
2014-09-11 13:30:00,7BB6385,300 CHARLES ST,Baltimore,MD
2014-12-31 20:23:00,6AY1531,400 CROSS ST,Baltimore,MD
2014-01-13 11:33:00,34348HT,400 CATHEDRAL ST,Baltimore,MD
2014-11-12 13:01:00,904M733,1700 MADISON ST,Baltimore,MD
2014-06-20 17:30:00,2EVL32,5100 ROLAND AVE,Baltimore,MD
2014-01-24 11:08:00,17537M5,400 CONKLING ST,Baltimore,MD
2014-11-23 11:53:00,4BR4442,4700 EASTERN AVE,Baltimore,MD
2014-03-19 13:34:00,2BC2209,100 FREMONT AVE,Baltimore,MD
2014-09-25 08:42:00,2BXT23,900 CHARLES ST,Baltimore,MD
2014-01-28 09:30:00,6FSG51,1000 BROOKS LN,Baltimore,MD
2014-08-29 08:53:00,2AF9868,200 COLLINGTON AVE,Baltimore,MD
2014-12-04 08:02:00,1AY0452,2800 THE ALAMEDA,Baltimore,MD
2014-03-03 17:02:00,XAU7527,100 LEXINGTON ST,Baltimore,MD
2014-10-05 12:20:00,7RD970,E/S 1200 DUNDALK AV,Baltimore,MD
2014-04-01 09:58:00,8BG6516,3500 BANK ST,Baltimore,MD
2014-12-19 11:02:00,210ZRL,1500 MONUMENT ST,Baltimore,MD
2014-05-23 10:22:00,1AR0233,4800 FREDERICK AVE,Baltimore,MD
2014-07-23 04:22:00,2BG5732,500 MONTFORD AVE,Baltimore,MD
2014-04-09 07:39:00,A038905,5100 THE ALAMEDA,Baltimore,MD
2014-06-11 12:24:00,LAW719,1700 MADISON ST,Baltimore,MD
2014-04-16 20:35:00,8AT9242,200 WOLFE ST,Baltimore,MD
2014-04-23 10:16:00,Z31318,600 PRATT ST,Baltimore,MD
2014-08-07 13:16:00,5AX5021,500 BROADWAY,Baltimore,MD
2014-05-25 11:35:00,1EAW10,1100 CHARLES ST,Baltimore,MD
2014-04-22 09:25:00,09293M1,E/S 1100 COVINGTON ST,Baltimore,MD
2014-08-01 23:10:00,6BH0123,900 ALICEANNA ST,Baltimore,MD
2014-03-22 11:59:00,7EGW08,900 CAROLINE ST,Baltimore,MD
2014-09-08 08:42:00,4BM8448,100 CASTLE ST,Baltimore,MD
2014-10-11 10:20:00,HSJ3919,2300 FOSTER AVE,Baltimore,MD
2014-02-08 03:24:00,01465TT,3700 FAIRHAVEN AVE,Baltimore,MD
2014-09-06 22:14:00,3AB9661,1700 THAMES ST,Baltimore,MD
2014-08-12 14:57:00,1BM2664,1900 BRUNT CT,Baltimore,MD
2014-06-13 11:00:00,43582M6,221 N PACA ST,Baltimore,MD
2014-02-15 10:55:00,3AR8072,1000 GRANBY ST,Baltimore,MD
2014-07-30 08:52:00,3BN5178,3600 ROBERTS PL,Baltimore,MD
2014-09-12 17:31:00,2FVF48,1100 36TH ST,Baltimore,MD
2014-06-10 16:53:00,7CZP40,1700 CHARLES ST,Baltimore,MD
2014-09-14 19:41:00,8AJ2587,100 OSTEND ST,Baltimore,MD
2014-09-09 16:50:00,5BZF60,100 MT ROYAL AVE,Baltimore,MD
2014-01-03 11:17:00,60074CE,5700 HARFORD RD,Baltimore,MD
2014-10-08 12:13:00,1BM9860,2300 MONUMENT ST,Baltimore,MD
2014-12-13 13:35:00,297707TT,900 CAROLINE ST,Baltimore,MD
2014-06-15 13:30:00,5AG2436,1000 FLEET ST,Baltimore,MD
2014-12-20 12:34:00,506TVI,700 LOMBARD ST,Baltimore,MD
2014-12-19 15:06:00,7EZJ63,U/B CALVERT ST,Baltimore,MD
2014-03-05 01:52:00,02229M9,300 BOULDIN ST,Baltimore,MD
2014-08-03 17:51:00,9AN5821,100 MARKET PL,Baltimore,MD
2014-03-31 17:45:00,3BC8826,U/B CROSS ST,Baltimore,MD
2014-06-05 14:05:00,88896CE,U/B CENTRE ST,Baltimore,MD
2014-12-01 16:26:00,19P674,900 TRINITY ST,Baltimore,MD
2014-02-05 08:26:00,4EBP90,U/B PARKIN ST,Baltimore,MD
