violDate,tag,location,city,state
2013-10-23 14:07:00,T38CSA,U/B CENTRE ST,Baltimore,MD
2013-05-05 19:29:00,7AZ5123,1700 THAMES ST,Baltimore,MD
2013-12-09 12:01:00,7FVF08,2300 MCELDERRY ST,Baltimore,MD
2013-11-29 23:00:00,5AJ7933,2400 FREDERICK AVE,Baltimore,MD
2013-12-16 12:49:00,2FBA72,5200 FOSTER AVE,Baltimore,MD
2013-12-19 01:38:00,3199CECO,3100 GOUGH ST,Baltimore,MD
2013-12-27 17:20:00,4CTG49,3200 ST PAUL ST,Baltimore,MD
2013-01-31 11:58:00,CL49392,1800 FAYETTE ST,Baltimore,MD
2013-09-11 11:37:00,3AX7689,2500 CHARLES ST,Baltimore,MD
2013-10-04 17:39:00,1AP9783,3400 GREENMOUNT AVE,Baltimore,MD
2013-08-19 09:01:00,8AV1408,2900 EDGECOMBE CIR,Baltimore,MD
2013-04-01 10:36:00,6CDF19,S Hilton St SB @ Massachusetts,Baltimore,MD
2013-02-16 17:34:00,CBL9969T,00 33RD ST,Baltimore,MD
2013-10-26 10:30:00,551271,E/S 600 RESERVOIR ST,Baltimore,MD
2013-05-10 22:39:00,119090,1900 GOUGH ST,Baltimore,MD
2013-07-11 14:50:00,06140C,O/S 301 LIGHT STREET,Baltimore,MD
2013-06-26 10:27:00,2AE6637,600 CATHEDRAL ST,Baltimore,MD
2013-08-14 14:17:00,WVA1219,200 N PACA ST,Baltimore,MD
2013-09-27 08:46:00,2BC8520,700 EDGEWOOD ST,Baltimore,MD
2013-04-25 11:33:00,9AD9623,2200 WILKENS AVE,Baltimore,MD
2013-02-23 11:06:00,3FGD68,100 GARRETT ST,Baltimore,MD
2013-03-08 14:59:00,5AC5771,N Howard St NB @ John St,Baltimore,MD
2013-04-26 13:29:00,T458104T,700 DR BENJAMIN QUARLES PL,Baltimore,MD
2013-12-26 11:16:00,1BC2982,2100 MONUMENT ST,Baltimore,MD
