1200 CHARLES ST,172923.0
U/B CROSS ST,158721.0
U/B SOUTH ST,132893.0
U/B CALVERT ST,129880.0
U/B PACA ST,123659.0
U/B GAY ST,122837.0
1700 THAMES ST,114313.0
1000 CHARLES ST,109138.0
800 BATTERY AVE,100714.0
700 CENTRAL AVE,96809.0
U/B GREENE ST,93471.0
200 LEXINGTON ST,86969.0
U/B BALTIMORE ST,82857.0
300 CALVERT ST,80371.0
U/B COMMERCE ST,79035.0
1000 LIGHT ST,77574.0
800 BROADWAY,76245.0
700 BROADWAY,75807.0
400 BALTIMORE ST,73588.0
U/B EUTAW ST,71856.0
